zipcode,zipcode_type,major_city,post_office_city,county,state,lat,lng
49659,Standard,Mancelona,"Mancelona, MI",Antrim County,MI,44.9,-85
49660,Standard,Manistee,"Manistee, MI",Manistee County,MI,44.2,-86.2
49663,Standard,Manton,"Manton, MI",Wexford County,MI,44.4,-85.4
49664,Standard,Maple City,"Maple City, MI",Leelanau County,MI,44.9,-85.9
49665,Standard,Marion,"Marion, MI",Osceola County,MI,44.1,-85.1
49666,PO Box,Mayfield,"Mayfield, MI",Grand Traverse County,MI,44.6,-85.5
49667,Standard,Merritt,"Merritt, MI",Missaukee County,MI,44.4,-84.9
49668,Standard,Mesick,"Mesick, MI",Wexford County,MI,44.4,-85.7
49670,Standard,Northport,"Northport, MI",Leelanau County,MI,45.1,-85.6
49673,PO Box,Old Mission,NA,Grand Traverse County,MI,44.9611442,-85.491773
49674,PO Box,Omena,"Omena, MI",Leelanau County,MI,45.06,-85.6
49675,Standard,Onekama,"Onekama, MI",Manistee County,MI,44.37,-86.22
49676,Standard,Rapid City,"Rapid City, MI",Kalkaska County,MI,44.8,-85.3
49677,Standard,Reed City,"Reed City, MI",Osceola County,MI,43.9,-85.5
49679,Standard,Sears,"Sears, MI",Osceola County,MI,43.9,-85.1
49680,Standard,South Boardman,"South Boardman, MI",Kalkaska County,MI,44.64,-85.25
49682,Standard,Suttons Bay,"Suttons Bay, MI",Leelanau County,MI,45,-85.6
49683,Standard,Thompsonville,"Thompsonville, MI",Benzie County,MI,44.5,-85.9
49684,Standard,Traverse City,"Traverse City, MI",Grand Traverse County,MI,44.8,-85.7
49685,Standard,Traverse City,NA,Grand Traverse County,MI,44.7630567,-85.6206317
49686,Standard,Traverse City,"Traverse City, MI",Grand Traverse County,MI,44.9,-85.5
49688,Standard,Tustin,"Tustin, MI",Osceola County,MI,44.1,-85.4
49689,Standard,Wellston,"Wellston, MI",Manistee County,MI,44.2,-85.9
49690,Standard,Williamsburg,"Williamsburg, MI",Grand Traverse County,MI,44.8,-85.4
49696,Standard,Traverse City,NA,Grand Traverse County,MI,44.7630567,-85.6206317
49701,Standard,Mackinaw City,"Mackinaw City, MI",Emmet County,MI,45.75,-84.73
49705,Standard,Afton,"Afton, MI",Cheboygan County,MI,45.4,-84.5
49706,Standard,Alanson,"Alanson, MI",Emmet County,MI,45.4,-84.8
49707,Standard,Alpena,"Alpena, MI",Alpena County,MI,45.1,-83.5
49709,Standard,Atlanta,"Atlanta, MI",Montmorency County,MI,45,-84.2
49710,Standard,Barbeau,"Barbeau, MI",Chippewa County,MI,46.27,-84.19
49711,PO Box,Bay Shore,NA,Charlevoix County,MI,45.31585,-85.2587999
49712,Standard,Boyne City,"Boyne City, MI",Charlevoix County,MI,45.2,-85
49713,Standard,Boyne Falls,"Boyne Falls, MI",Charlevoix County,MI,45.2,-84.8
49715,Standard,Brimley,"Brimley, MI",Chippewa County,MI,46.4,-84.8
49716,Standard,Brutus,"Brutus, MI",Emmet County,MI,45.51,-84.75
49717,PO Box,Burt Lake,"Burt Lake, MI",Cheboygan County,MI,45.4,-84.8
49718,Standard,Carp Lake,"Carp Lake, MI",Emmet County,MI,45.7,-84.9
49719,Standard,Cedarville,"Cedarville, MI",Mackinac County,MI,46,-84.3
