order,x,y,hole,piece,group,fips,abbr,NAME
13822,665375.5036,-2189092.455,F,1,72.1,72,PR,Puerto Rico
13823,664851.6296,-2188165.821,F,1,72.1,72,PR,Puerto Rico
13824,665065.4055,-2187994.783,F,1,72.1,72,PR,Puerto Rico
13825,665391.3585,-2187733.994,F,1,72.1,72,PR,Puerto Rico
13826,665623.6776,-2187059.057,F,1,72.1,72,PR,Puerto Rico
13827,665512.2335,-2186490.357,F,1,72.1,72,PR,Puerto Rico
13828,665330.8014,-2185564.508,F,1,72.1,72,PR,Puerto Rico
13829,664283.9343,-2184718.03,F,1,72.1,72,PR,Puerto Rico
13830,664033.5479,-2184685.564,F,1,72.1,72,PR,Puerto Rico
13831,663132.4685,-2184568.729,F,1,72.1,72,PR,Puerto Rico
13832,661518.9525,-2184711.436,F,1,72.1,72,PR,Puerto Rico
13833,661337.3357,-2184727.499,F,1,72.1,72,PR,Puerto Rico
13834,661346.9126,-2184600.024,F,1,72.1,72,PR,Puerto Rico
13835,661405.3799,-2183821.784,F,1,72.1,72,PR,Puerto Rico
13836,661003.5009,-2182734.84,F,1,72.1,72,PR,Puerto Rico
13837,661018.8176,-2182675.35,F,1,72.1,72,PR,Puerto Rico
13838,661386.8127,-2181246.068,F,1,72.1,72,PR,Puerto Rico
13839,661396.3514,-2181209.021,F,1,72.1,72,PR,Puerto Rico
13840,661352.9705,-2180486.079,F,1,72.1,72,PR,Puerto Rico
13841,661318.586,-2180169.916,F,1,72.1,72,PR,Puerto Rico
13842,661234.5651,-2179397.348,F,1,72.1,72,PR,Puerto Rico
13843,661195.9624,-2179042.398,F,1,72.1,72,PR,Puerto Rico
13844,660846.0576,-2178139.038,F,1,72.1,72,PR,Puerto Rico
13845,660829.5369,-2178096.386,F,1,72.1,72,PR,Puerto Rico
13846,660821.2353,-2177930.808,F,1,72.1,72,PR,Puerto Rico
13847,660777.1275,-2177051.06,F,1,72.1,72,PR,Puerto Rico
13848,661300.5611,-2175657.145,F,1,72.1,72,PR,Puerto Rico
13849,661984.9941,-2175006.303,F,1,72.1,72,PR,Puerto Rico
13850,662399.8376,-2174611.82,F,1,72.1,72,PR,Puerto Rico
13851,664388.5329,-2173815.329,F,1,72.1,72,PR,Puerto Rico
13852,664632.7705,-2173742.757,F,1,72.1,72,PR,Puerto Rico
13853,665920.4668,-2173360.139,F,1,72.1,72,PR,Puerto Rico
13854,666063.4323,-2173317.659,F,1,72.1,72,PR,Puerto Rico
13855,666447.741,-2173134.914,F,1,72.1,72,PR,Puerto Rico
13856,667947.7491,-2172421.635,F,1,72.1,72,PR,Puerto Rico
13857,668739.3646,-2172342.385,F,1,72.1,72,PR,Puerto Rico
