x,y,order,hole,piece,group,fips,abbr,full,county
993466.4024,-2106176.788,55297,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
993336.2596,-2105824.896,55298,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
993474.1096,-2105111.203,55299,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
993363.7856,-2104151.098,55300,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
993590.5995,-2103649.024,55301,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
993920.4705,-2103635.371,55302,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
994332.6993,-2103401.731,55303,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
994709.0341,-2102936.212,55304,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
995458.621,-2102732.08,55305,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
996364.5552,-2102891.95,55306,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
996792.1985,-2103057.326,55307,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
997394.6866,-2103264.321,55308,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
997941.9026,-2103004.256,55309,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
997915.6979,-2102888.207,55310,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
997776.5267,-2102033.141,55311,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
997555.6584,-2101630.821,55312,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
998356.5536,-2100907.879,55313,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
998421.2947,-2100580.651,55314,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
998713.7304,-2100258.047,55315,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
998766.5803,-2099664.807,55316,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
999077.2933,-2099576.944,55317,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
999301.2444,-2098830.22,55318,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
999036.1144,-2098632.033,55319,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
998930.4148,-2098215.841,55320,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
999009.6895,-2097911.074,55321,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
999358.058,-2097468.897,55322,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
999806.8412,-2096755.864,55323,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
999848.6806,-2096550.851,55324,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
999868.9397,-2096376.667,55325,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1000138.254,-2096178.26,55326,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1000491.907,-2095312.844,55327,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1000847.983,-2095086.03,55328,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1001070.52,-2094607.436,55329,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1001695.782,-2094697.363,55330,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1002459.661,-2094478.864,55331,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1004041.68,-2094026.345,55332,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1004107.093,-2094007.634,55333,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1004602.744,-2093865.859,55334,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1005188.276,-2092631.595,55335,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1005264.796,-2092529.919,55336,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1005785.973,-2091837.404,55337,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1005973.316,-2091588.472,55338,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1006439.062,-2091272.552,55339,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1006906.336,-2090955.595,55340,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1007780.216,-2091372.146,55341,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1007784.083,-2091373.989,55342,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1007853.343,-2092064.686,55343,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1007888.682,-2092417.113,55344,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1008464.525,-2092814.368,55345,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1009511.172,-2092218.486,55346,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1010401.031,-2091423.756,55347,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1010497.782,-2090964.564,55348,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1010500.434,-2090951.977,55349,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1010558.039,-2090678.574,55350,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1010534.409,-2090320.245,55351,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1010505.63,-2089883.844,55352,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1011039.499,-2089221.432,55353,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1011186.071,-2089039.568,55354,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1011607.728,-2088993.445,55355,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1012172.707,-2088931.645,55356,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1012504.594,-2088895.341,55357,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1012546.955,-2088890.708,55358,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1013279.586,-2089685.217,55359,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1013279.586,-2089715.89,55360,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1013279.586,-2089902.463,55361,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1013279.586,-2090406.177,55362,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1013279.586,-2090579.26,55363,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1012808.561,-2091324.443,55364,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1012799.168,-2091358.485,55365,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1012623.34,-2091995.677,55366,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
